站名：潮境資料浮標站
資料時間：202109
資料格式：觀測時間　YYYYMMDDHH，
　　　　　最大波高　#### (公分)　對應週期　##.# (秒)　尖峰週期　##.# (秒)，
　　　　　示性波高　#### (公分)　平均週期　##.# (秒)　主波向　### (度)，
　　　　　三秒陣風　##.# (公尺/秒)　平均風速　##.# (公尺/秒)　平均風向　### (度)，
　　　　　測站氣壓　####.# (百帕)　平均氣溫　##.# (度)　表面水溫　##.# (度)
          表層海流流速　##.# (公分/秒)　表層流向　### (度-去向)
##########,  ####,  ##.#,  ##.#,  ####,  ##.#,   ###,  ##.#,  ##.#,   ###,####.#,  ##.#,  ##.#,  ##.#,   ###
************************************************************************************************************

2021090306,      ,      ,   7.2,    16,   4.6,    78,   3.7,   2.1,   207,1006.7,  26.7,  28.4,   3.1,   277
2021090307,      ,      ,   6.7,    14,   4.1,    67,   2.6,   1.5,   205,1007.5,  27.5,  28.4,   9.6,   216
2021090308,      ,      ,   3.3,    14,   3.7,    78,   5.9,   3.7,   274,1008.1,  28.2,  28.5,  17.2,   218
2021090309,      ,      ,   4.6,    18,   3.9,    56,   3.4,   1.8,   240,1008.0,  28.9,  28.6,   9.4,    34
2021090310,      ,      ,   3.7,    15,   4.1,    45,   4.3,   3.3,    41,1008.3,  29.2,  28.8,  10.0,    38
2021090311,      ,      ,   5.8,    17,   4.0,    78,   4.3,   3.3,    79,1007.9,  28.8,  29.0,  14.3,    34
2021090312,      ,      ,   6.4,    17,   3.9,    90,   4.9,   3.9,    64,1007.7,  29.0,  29.1,   8.1,    26
2021090313,      ,      ,   6.4,    16,   3.9,    90,   3.7,   2.8,    40,1007.5,  28.8,  28.9,  10.8,    45
2021090314,      ,      ,   6.6,    20,   4.4,    78,   3.7,   3.0,    28,1007.1,  28.6,  28.8,  11.1,    53
2021090315,      ,      ,   5.1,    18,   4.1,    56,   3.6,   2.6,    45,1006.2,  28.8,  28.8,  21.4,    18
2021090316,      ,      ,   7.2,    20,   4.2,    67,   6.7,   5.5,    75,1006.0,  28.0,  28.7,   1.8,   106
2021090317,      ,      ,   6.0,    19,   4.4,    56,   6.6,   4.6,    87,1006.5,  28.3,  28.5,   7.6,   215
2021090318,      ,      ,   6.9,    18,   4.0,    78,   4.3,   2.1,   160,1006.8,  28.4,  28.7,  24.5,   289
2021090319,      ,      ,   5.9,    14,   3.9,     0,   3.3,   1.8,   169,1007.1,  28.0,  29.3,  24.7,   275
2021090320,      ,      ,   6.8,    12,   4.3,   101,   4.1,   2.6,   164,1007.7,  28.1,  29.4,  20.0,   263
2021090321,      ,      ,   6.0,    10,   4.4,   101,   5.6,   4.0,   190,1008.0,  27.9,  29.3,   5.7,   216
2021090322,      ,      ,   6.1,    13,   4.6,    90,   6.2,   2.4,   165,1007.6,  27.7,  29.3,   7.7,    70
2021090323,      ,      ,   6.1,    13,   4.4,    78,   4.5,   3.2,   209,1007.6,  27.6,  29.3,  11.4,    50
2021090400,      ,      ,   6.0,    12,   4.3,    90,   2.9,   1.9,   197,1008.0,  27.7,  29.2,   6.6,    56
2021090401,      ,      ,   6.8,    13,   4.3,   112,   3.4,   2.6,   237,1008.4,  26.8,  29.1,   3.3,    43
2021090402,      ,      ,   6.4,    14,   4.6,   123,   3.2,   1.9,   198,1007.8,  26.2,  29.0,   1.8,   133
2021090403,      ,      ,   7.1,    19,   4.5,   101,   2.9,   2.0,   257,1008.0,  25.9,  28.9,   3.2,    70
2021090404,      ,      ,   7.1,    15,   4.3,    90,   3.2,   2.1,   255,1007.4,  25.4,  28.8,   8.8,    35
2021090405,      ,      ,   6.8,    15,   4.3,    78,   4.3,   3.1,   246,1007.8,  25.5,  28.7,   7.0,    75
2021090406,      ,      ,   6.2,    16,   4.1,    90,   1.8,   1.1,   271,1008.3,  25.5,  28.7,   4.8,   105
2021090407,      ,      ,   8.0,    15,   4.5,    78,   2.6,   1.6,   154,1008.9,  27.1,  28.7,   3.8,   194
2021090408,      ,      ,   6.7,    14,   4.1,    56,   1.6,   0.3,   162,1007.7,  28.2,  28.6,  14.5,   214
2021090409,      ,      ,   7.1,    14,   4.0,    78,   3.2,   2.4,    70,1008.6,  28.3,  28.5,   2.4,   199
2021090410,      ,      ,   3.2,    20,   3.5,    56,   3.5,   2.7,   347,1008.8,  28.9,  28.9,  11.8,    35
2021090411,      ,      ,   7.1,    15,   3.9,    67,   7.3,   5.3,   307,1008.8,  28.3,  29.0,  17.5,    21
2021090412,      ,      ,   3.2,    23,   3.5,    78,   6.6,   4.4,   313,1009.0,  28.4,  29.0,  21.2,    41
2021090413,      ,      ,   3.1,    19,   3.6,    90,   5.4,   3.2,   311,1008.7,  28.5,  28.8,  16.0,    66
2021090414,      ,      ,   3.0,    23,   3.6,    45,   6.6,   5.3,    69,1007.7,  28.3,  28.7,  20.4,    25
2021090415,      ,      ,   2.7,    23,   3.6,    78,   8.4,   7.1,    65,1008.2,  27.9,  28.7,  23.3,     0
2021090416,      ,      ,   7.6,    23,   3.8,    33,   7.5,   6.7,    75,1007.9,  27.8,  28.9,  28.4,   305
2021090417,      ,      ,   5.9,    18,   3.8,    67,   6.7,   5.4,   104,1008.6,  28.0,  28.7,  15.2,   267
2021090418,      ,      ,   7.8,    21,   4.2,    56,   5.1,   4.1,   105,1009.3,  27.6,  28.6,  14.9,   268
2021090419,      ,      ,   8.0,    18,   3.6,    56,   2.5,   1.8,   115,1009.5,  27.8,  28.6,   5.7,   262
2021090420,      ,      ,   6.9,    15,   3.9,    78,   4.0,   2.3,   155,1010.5,  27.7,  28.5,  19.6,   206
2021090421,      ,      ,   7.5,    17,   4.3,    78,   3.2,   2.2,   163,1010.5,  27.9,  29.0,  19.9,   235
2021090422,      ,      ,   6.7,    17,   4.2,    90,   4.4,   2.4,   160,1010.4,  28.0,  29.0,   7.9,   252
2021090423,      ,      ,   8.3,    16,   4.2,    67,   3.9,   2.0,   123,1009.7,  27.8,  29.0,   8.8,    23
2021090500,      ,      ,   6.1,    15,   4.2,    90,   4.3,   2.9,   152,1009.1,  27.9,  28.8,  10.4,    61
2021090501,      ,      ,   8.0,    18,   4.8,   101,   2.8,   1.9,   164,1009.2,  27.9,  28.9,   9.9,   109
2021090502,      ,      ,   7.5,    21,   4.6,   101,   3.8,   2.2,   161,1008.9,  27.7,  28.8,   5.7,   108
2021090503,      ,      ,   7.3,    22,   4.5,   101,   3.7,   2.2,   193,1008.7,  27.8,  28.8,   3.9,    60
2021090504,      ,      ,   6.7,    27,   4.6,    78,   2.3,   1.5,   194,1008.2,  27.6,  28.7,  13.0,    35
2021090505,      ,      ,   6.8,    26,   4.3,    78,   1.8,   1.1,   158,1008.6,  27.2,  28.7,  12.6,    49
2021090506,      ,      ,   7.0,    25,   4.2,    67,   2.3,   0.8,   180,1008.8,  27.7,  28.6,  18.2,   288
2021090507,      ,      ,   6.6,    18,   3.6,    67,   1.8,   0.4,   113,1009.6,  29.0,  28.7,  30.1,   242
2021090508,      ,      ,   6.6,    17,   3.6,    78,   3.5,   2.1,   141,1010.0,  29.5,  28.9,  22.7,   236
2021090509,      ,      ,   7.6,    22,   4.0,    56,   5.9,   4.3,   102,1009.9,  28.7,  28.9,  11.4,   197
2021090510,      ,      ,   4.5,    20,   3.6,    78,   6.8,   4.7,   109,1009.7,  28.5,  28.8,   2.5,    81
2021090511,      ,      ,   4.8,    25,   3.6,   101,   7.1,   5.3,   126,1009.9,  29.1,  28.9,   7.5,    42
2021090512,      ,      ,   8.0,    26,   4.1,    78,   7.2,   4.5,   134,1008.8,  29.8,  28.9,   9.2,    66
2021090513,      ,      ,   7.3,    25,   3.8,    56,   5.9,   4.0,   159,1008.7,  29.7,  29.0,   5.3,    28
2021090514,      ,      ,   7.3,    29,   4.1,    90,   6.6,   4.0,   163,1008.4,  29.6,  28.7,  17.8,   351
2021090515,      ,      ,   6.4,    30,   4.2,    78,   7.8,   3.9,   178,1007.6,  29.5,  29.0,   2.2,   357
2021090516,      ,      ,   6.8,    31,   4.2,    67,   7.4,   4.4,   182,1008.4,  29.4,  28.8,   4.4,   204
2021090517,      ,      ,   4.8,    34,   4.2,    67,   7.9,   5.6,   123,1008.6,  29.0,  28.6,   2.0,   229
2021090518,      ,      ,   6.5,    34,   4.2,    67,   8.4,   6.1,   135,1008.9,  28.5,  28.5,  12.8,    87
2021090519,      ,      ,   3.8,    34,   4.0,    67,   6.3,   4.3,   143,1009.5,  27.9,  28.4,   5.9,   102
2021090520,      ,      ,   5.2,    35,   4.2,    78,   6.5,   4.5,   115,1010.1,  27.5,  28.5,  12.0,   234
2021090521,      ,      ,   4.0,    30,   4.3,    78,   6.3,   4.2,   149,1010.6,  27.9,  28.3,  22.2,   218
2021090522,      ,      ,   4.3,    30,   4.2,    78,   9.7,   4.6,   150,1011.1,  28.1,  28.3,  17.9,   234
2021090523,      ,      ,   5.2,    32,   4.4,    78,  10.9,   7.0,   146,1010.7,  28.0,  28.1,  19.6,    31
2021090600,      ,      ,   5.0,    36,   4.7,   101,   8.8,   5.6,   137,1010.8,  27.7,  28.2,   8.9,    40
2021090601,      ,      ,   8.1,    33,   5.0,    90,   9.4,   5.2,   150,1010.7,  27.7,  28.3,   1.9,    51
2021090602,      ,      ,   6.7,    34,   4.6,    78,   6.4,   3.3,   162,1010.6,  27.6,  28.2,   5.0,   102
2021090603,      ,      ,   7.4,    36,   4.4,    78,   3.9,   2.6,   169,1010.3,  27.8,  28.2,   7.9,    78
2021090604,      ,      ,   5.8,    38,   4.5,    67,   3.0,   1.4,   159,1010.4,  27.7,  28.2,  20.3,    23
2021090605,      ,      ,   4.5,    45,   4.6,    56,   4.6,   2.7,   144,1009.7,  27.8,  28.0,  11.2,    38
2021090606,      ,      ,   4.6,    44,   4.4,    90,   5.9,   3.4,   182,1010.0,  27.8,  27.5,   8.0,   167
2021090607,      ,      ,   4.6,    28,   4.3,    67,   8.1,   2.3,   188,1010.4,  28.1,  27.3,  24.8,   227
2021090608,      ,      ,   5.1,    27,   4.4,    78,   4.9,   3.1,   157,1010.8,  28.5,  27.7,  29.2,   276
2021090609,      ,      ,   8.0,    24,   4.4,    67,   7.0,   5.0,   151,1010.9,  29.4,  28.1,  12.1,   245
2021090610,      ,      ,   7.7,    22,   4.8,    78,   2.3,   1.8,     6,1011.5,  29.1,  28.1,  13.6,   194
2021090611,      ,      ,   6.4,    21,   5.1,    67,   5.6,   4.3,   345,1010.7,  29.0,  28.7,   1.0,   289
2021090612,      ,      ,   6.6,    26,   4.8,    90,   4.8,   3.5,   344,1010.2,  29.3,  28.6,   3.8,    22
2021090613,      ,      ,   7.0,    26,   4.3,    67,   5.4,   3.7,   305,1009.9,  28.9,  28.7,  11.3,    19
2021090614,      ,      ,   7.7,    32,   5.4,    56,   3.3,   2.3,   306,1009.6,  28.8,  28.7,   8.9,    33
2021090615,      ,      ,   5.4,    28,   5.0,    78,   2.8,   1.6,    49,1009.1,  30.1,  28.5,   8.6,    29
2021090616,      ,      ,   7.2,    40,   5.5,    56,   4.4,   2.9,   294,1009.8,  29.9,  28.7,  23.5,   358
2021090617,      ,      ,   7.2,    34,   5.2,    78,   4.7,   3.1,   314,1010.0,  28.6,  28.5,  10.8,   133
2021090618,      ,      ,   5.1,    34,   4.9,    78,   1.9,   0.6,   295,1010.8,  28.4,  28.0,  13.6,   227
2021090619,      ,      ,   4.9,    33,   4.6,    56,   3.4,   1.5,   114,1010.8,  27.5,  27.8,  15.0,   244
2021090620,      ,      ,   6.7,    30,   4.6,    67,   5.1,   3.7,   177,1011.1,  28.1,  27.8,  14.1,   224
2021090621,      ,      ,   6.7,    29,   5.0,    56,   3.6,   1.5,   170,1012.0,  28.1,  27.9,  26.4,   221
2021090622,      ,      ,   6.9,    27,   5.1,    78,   4.4,   2.5,   168,1011.9,  28.0,  27.9,  18.4,   225
2021090623,      ,      ,   6.8,    29,   4.9,    90,   3.8,   2.0,   157,1011.5,  27.8,  27.8,  10.0,    29
2021090700,      ,      ,   7.0,    31,   5.3,    78,   3.4,   1.2,   191,1011.1,  27.9,  27.8,  21.1,    24
2021090701,      ,      ,   6.9,    29,   5.4,    78,   3.4,   2.0,   207,1010.7,  27.8,  27.8,   6.7,   358
2021090702,      ,      ,   8.0,    29,   5.8,    78,   2.1,   1.3,   326,1010.5,  27.6,  27.8,  15.9,    56
2021090703,      ,      ,   7.7,    28,   5.3,    90,   1.9,   0.8,   230,1010.5,  27.2,  27.8,   8.6,    46
2021090704,      ,      ,   6.4,    33,   5.5,    67,   3.1,   1.7,   230,1010.2,  26.7,  27.7,   9.8,    39
2021090705,      ,      ,   7.1,    31,   5.0,    67,   2.5,   1.6,   216,1010.2,  26.3,  27.7,  13.9,    31
2021090706,      ,      ,   6.3,    36,   4.6,    90,   2.3,   1.4,   223,1011.1,  25.9,  27.6,  17.8,   145
2021090707,      ,      ,   6.2,    30,   4.3,    67,   2.0,   1.4,   234,1010.7,  28.1,  27.3,  21.4,   265
2021090708,      ,      ,   6.2,    23,   4.4,    67,   2.8,   1.8,   202,1010.7,  28.9,  27.6,  13.2,   247
2021090709,      ,      ,   6.8,    23,   4.9,    78,   2.7,   2.1,    59,1011.2,  28.4,  28.1,  26.0,   220
2021090710,      ,      ,   6.4,    21,   5.4,    78,   4.1,   3.4,   101,1010.9,  28.3,  28.1,  13.8,   196
2021090711,      ,      ,   7.4,    19,   5.7,    90,   5.2,   4.3,    92,1011.0,  28.3,  28.9,  23.4,   209
2021090712,      ,      ,   7.4,    19,   5.6,    90,   4.7,   3.9,    87,1010.6,  29.0,  28.7,  14.1,    51
2021090713,      ,      ,   7.1,    21,   6.0,    78,   7.0,   5.6,    63,1009.9,  28.7,  28.8,  15.3,    29
2021090714,      ,      ,   7.5,    35,   4.8,    67,   9.0,   7.5,    74,1008.9,  28.4,  28.6,  24.6,    20
2021090715,      ,      ,   8.0,    32,   4.3,    67,   8.0,   6.1,    87,1008.6,  28.9,  28.9,  16.5,    13
2021090716,      ,      ,   7.0,    35,   5.1,    67,   6.2,   4.2,   114,1008.5,  29.6,  28.8,  17.0,     7
2021090717,      ,      ,   6.7,    30,   4.7,    90,   6.5,   4.2,   146,1008.0,  29.7,  28.8,  10.0,   128
2021090718,      ,      ,   6.2,    32,   5.1,    78,   5.8,   3.7,   168,1008.1,  29.1,  28.2,   7.9,   246
2021090719,      ,      ,   7.1,    37,   5.1,    67,   5.8,   3.6,   152,1009.4,  28.3,  27.7,  17.8,   266
2021090720,      ,      ,   6.8,    43,   5.0,    67,   6.9,   4.9,   141,1009.6,  28.3,  28.0,  20.5,   283
2021090721,      ,      ,   6.8,    32,   5.1,    67,   8.5,   4.9,   145,1010.0,  28.2,  28.2,  16.7,   211
2021090722,      ,      ,   7.5,    29,   5.1,    78,   6.2,   4.6,   154,1009.7,  28.3,  27.9,  28.2,   238
2021090723,      ,      ,   7.2,    29,   5.0,    67,   6.1,   3.3,   133,1010.1,  28.5,  27.7,  11.1,    18
2021090800,      ,      ,   7.5,    29,   4.6,    45,   5.3,   2.6,   164,1009.5,  27.9,  27.7,  15.4,    42
2021090801,      ,      ,   7.2,    29,   5.0,    56,   3.6,   2.0,   187,1008.9,  27.9,  27.8,  20.1,    44
2021090802,      ,      ,   7.5,    34,   5.1,    45,   1.5,   0.8,   313,1009.3,  27.6,  27.7,  20.1,    55
2021090803,      ,      ,   7.0,    31,   5.6,    33,   1.9,   1.1,   167,1009.2,  27.2,  27.6,  28.5,     4
2021090804,      ,      ,   7.1,    37,   5.9,    56,   3.3,   2.7,   145,1008.6,  26.9,  27.6,  22.7,     4
2021090805,      ,      ,   7.2,    36,   5.3,    78,   2.8,   1.9,   187,1008.9,  26.5,  27.6,  15.1,   332
2021090806,      ,      ,   6.6,    36,   5.1,    67,   2.1,   1.4,   165,1008.9,  27.1,  27.6,   6.9,    14
2021090807,      ,      ,   6.8,    42,   5.3,    67,   1.3,   0.6,   299,1008.9,  27.6,  27.8,  18.8,   271
2021090808,      ,      ,   7.3,    26,   4.6,    78,   1.5,   0.9,   168,1009.0,  28.4,  27.7,  15.2,   289
2021090809,      ,      ,   7.4,    27,   4.9,    67,   2.8,   2.3,    85,1009.5,  28.4,  27.7,  29.8,   242
2021090810,      ,      ,   7.5,    24,   5.3,    67,   4.2,   3.5,    83,1009.0,  28.4,  28.1,  34.7,   255
2021090811,      ,      ,   7.2,    24,   5.5,    78,   5.7,   4.3,    85,1008.9,  28.6,  28.8,  22.1,   222
2021090812,      ,      ,   7.0,    31,   5.4,    67,   7.2,   5.8,    97,1008.2,  29.0,  28.8,  13.7,   179
2021090813,      ,      ,   7.6,    34,   4.2,    90,   9.3,   7.6,    99,1008.0,  29.0,  28.5,   2.6,   230
2021090814,      ,      ,   6.5,    48,   4.2,    78,   8.6,   7.1,   117,1008.0,  28.8,  28.4,  12.9,    59
2021090815,      ,      ,   5.8,    48,   4.4,    45,   9.5,   7.4,    79,1007.8,  28.8,  28.6,  13.3,    30
2021090816,      ,      ,   7.0,    45,   4.6,    56,   9.6,   7.2,    84,1008.3,  28.6,  28.6,  19.5,    18
2021090817,      ,      ,   6.3,    44,   5.0,    56,   9.4,   6.3,    95,1008.1,  28.4,  28.7,  12.0,    34
2021090818,      ,      ,   6.3,    45,   5.3,    90,   6.2,   4.4,   125,1008.7,  28.2,  28.8,  16.6,    96
2021090819,      ,      ,   6.2,    57,   5.2,    78,   5.5,   3.9,   127,1008.9,  28.0,  27.8,   3.2,   314
2021090820,      ,      ,   6.4,    63,   5.1,    67,   7.4,   5.1,   124,1009.4,  28.0,  28.0,  15.2,   256
2021090821,      ,      ,   6.9,    50,   5.2,    67,   7.4,   5.2,   136,1010.0,  28.2,  27.7,  15.2,   213
2021090822,      ,      ,   7.6,    39,   5.3,    67,   6.7,   4.6,   127,1010.2,  28.0,  28.2,  21.2,   228
2021090823,      ,      ,   7.2,    35,   5.2,    78,   9.6,   4.9,   139,1010.2,  28.2,  27.9,  16.7,   235
2021090900,      ,      ,   7.4,    40,   5.0,    90,   7.0,   4.1,   144,1010.0,  27.7,  27.8,   3.2,     5
2021090901,      ,      ,   5.8,    36,   4.9,    56,  10.1,   5.7,   130,1009.5,  27.9,  27.9,   6.6,    38
2021090902,      ,      ,   7.1,    32,   4.8,    67,   5.3,   3.3,   127,1009.0,  27.8,  27.9,   3.8,    39
2021090903,      ,      ,   6.7,    34,   5.0,    67,   7.8,   4.5,   141,1009.3,  27.6,  27.9,  12.9,    67
2021090904,      ,      ,   6.8,    34,   5.0,    56,   5.7,   3.5,   133,1009.3,  27.6,  27.6,  14.9,    15
2021090905,      ,      ,   7.1,    40,   5.1,    78,   6.1,   4.0,   125,1009.0,  27.7,  27.5,   9.8,    12
2021090906,      ,      ,   5.3,    39,   4.9,    45,   8.4,   5.2,   129,1008.9,  27.6,  27.6,   5.5,     7
2021090907,      ,      ,   6.8,    33,   4.5,    67,   5.9,   4.0,   141,1009.0,  28.0,  27.5,  11.8,   169
2021090908,      ,      ,   6.9,    38,   4.6,    56,   4.2,   2.6,   135,1009.5,  28.4,  27.5,  13.0,   267
2021090909,      ,      ,   7.2,    36,   5.0,    78,   8.3,   3.7,   133,1009.6,  29.1,  27.4,   2.8,    90
2021090910,      ,      ,   7.8,    33,   4.9,    78,   6.3,   4.0,   173,1009.5,  29.3,  28.1,  21.9,   243
2021090911,      ,      ,   6.7,    27,   4.5,    78,   8.1,   5.1,   168,1009.2,  29.8,  28.0,   8.7,   179
2021090912,      ,      ,   7.4,    31,   4.6,    90,   8.5,   5.3,   156,1008.8,  29.7,  28.1,  20.3,    65
2021090913,      ,      ,   3.8,    30,   4.4,    90,   8.4,   4.5,   159,1008.5,  29.9,  28.2,   3.1,    33
2021090914,      ,      ,   6.9,    31,   4.3,    45,   9.9,   6.5,    89,1008.3,  28.6,  28.1,   9.7,   116
2021090915,      ,      ,   5.3,    37,   4.5,    90,   8.6,   6.5,    89,1008.7,  28.2,  28.3,  21.2,    58
2021090916,      ,      ,   7.6,    50,   4.3,    78,   9.2,   7.1,    88,1008.8,  27.5,  27.4,  20.4,    38
2021090917,      ,      ,   5.8,    47,   4.7,    33,   7.5,   6.4,   110,1008.8,  26.9,  27.4,  29.8,    28
2021090918,      ,      ,   8.1,    56,   5.0,    67,   8.0,   5.6,    89,1008.8,  27.0,  27.9,  22.0,   352
